gene_id,SRR23919708,SRR23919707,SRR23919704,SRR23919703,SRR23919698,SRR23919697,SRR23919706,SRR23919705,SRR23919702,SRR23919701,SRR23919700,SRR23919699
tetur41g00670,0,0,4,1,2,1,0,0,2,3,3,0
tetur41g00190,425,361,361,363,558,455,481,488,568,564,608,510
tetur08g01360,2081,2001,2068,1985,2070,1822,2123,2165,2435,2452,2255,2118
tetur08g01350,1063,1019,989,1019,920,847,868,957,898,844,1023,930
tetur08g01330,1167,1257,1178,1259,1566,1634,1435,1649,1449,1597,1314,1446
tetur08g01320,20037,17911,17282,18784,20452,18428,20742,21101,22194,20515,21781,18426
tetur08g01310,717,734,596,719,640,594,579,687,760,692,778,644
HMEL012074-PA,213,236,211,232,190,166,161,182,190,175,233,207
tetur08g01260,3678,3711,3499,3701,4249,3611,4001,4509,4356,4419,4541,3877
